Video URL,Video Caption,Author Username,Follower Count,Following Count,Like Count
https://www.tiktok.com/@travelizo.abss/video/7402992036669885714,জায়গাটা সুন্দর না?! 🥰,travelizo.abss,20,4,330
https://www.tiktok.com/@i.am.brazil.suppo5/video/7398782356896681234,স্বপ্নের দেশ greece 🇬🇷🇬🇷👉🇯🇵🇯🇵👈✈️,i.am.brazil.suppo5,16000,33,488400
https://www.tiktok.com/@alxovi3/video/7378816830556720401,Beautiful Switzerland🇨🇭,alxovi3,315,31,2402
https://www.tiktok.com/@eccendentesiast_._/video/7340736048806350087,Kashmir in Winter ❄️🌨️ Snowfall made the trip more beautiful though couldn't visit some places because of it ☃️,eccendentesiast_._,135,21,2136
https://www.tiktok.com/@sheikh_farid_71/video/7204638378338422018,"Lake Lungern Canton Obwalden 🇨🇭🏡 The landscape in the canton of Obwalden, which is shaped by the emerald-green Lake Lungern, appeals to hikers, water sports enthusiasts and nature lovers. In winter, numerous attractive ski areas can be reached from Lungern within a short time. The mountain village of Lungern offers relaxation, sport and adventure amidst impressive mountain ranges and an incomparable landscape. 📍Lungern Switzerland 🇨🇭 🎥 @sheikh_farid_71",sheikh_farid_71,2060,5,21600
https://www.tiktok.com/@mjmehraf/video/7418504065895648519,নারী কি প্রকৃতির রূপের চেয়ে ও বেশি রুপশী?,mjmehraf,4569,397,13200
https://www.tiktok.com/@monsieur_arefin/video/7061436382807461147,One of the most beautiful roads I have been to,monsieur_arefin,70400,187,1200000
https://www.tiktok.com/@khairulbhuiyan02/video/7387224329596980487,"Portugal, MadeiraSee Madeira from a drone’s perspective! Discover the island’s stunning landscapes f... 🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇵🇹🇦🇹🇪🇺🇪🇺🇪🇺🇪🇺🇪🇺🇪🇺🇨🇭🇨🇭🇨🇭🇮🇹🇮🇹",khairulbhuiyan02,104800,56,3300000
https://www.tiktok.com/@shamimuddin795/video/7221521143658777857,"London, View Buetiful For you 🖤🖤",shamimuddin795,305300,61,5200000
https://www.tiktok.com/@www.friends.com546/video/7212843746734492929,One of the most beautiful places in India.......😍,www.friends.com546,1192,1136,3691
https://www.tiktok.com/@shamimmahmud38/video/7391148494968474896,অপরুপ সুন্ধর এবং মনোমুগ্ধকর একটি রিসোর্ট.... জংগল বাড়ি ম্যানগ্রোভ রিসোর্ট,shamimmahmud38,2025,30,32800
https://www.tiktok.com/@tanveer.abid/video/7418896931646131463,The weekend therapy,tanveer.abid,458,221,6710
https://www.tiktok.com/@mdshajibbhuiyan302/video/7331312882061298962,"৩০০ ফুট এর উপর দিয়ে এয়ারপোর্ট যাচ্ছি,",mdshajibbhuiyan302,33000,21,769600
https://www.tiktok.com/@mdshajibbhuiyan302/video/7335496595863047431,I keep a good friend in my house,mdshajibbhuiyan302,33000,21,769600
https://www.tiktok.com/@mdshajibbhuiyan302/video/7337618506680175879,🛬🛫🇧🇩🇦🇪,mdshajibbhuiyan302,33000,21,769600
https://www.tiktok.com/@mdshajibbhuiyan302/video/7332403352669637895,,mdshajibbhuiyan302,33000,21,769600
https://www.tiktok.com/@sh.arpita/video/7391836173850643728,✨🕊️,sh.arpita,5939,6,145700
https://www.tiktok.com/@ramisha955/video/7349406898506026241,China 🇨🇳 most beautiful country 🤙,ramisha955,14900,71,431700
https://www.tiktok.com/@riazmohi10/video/7053357730949614874,,riazmohi10,142200,108,4300000
https://www.tiktok.com/@mdshajibbhuiyan302/video/7340694539914546450,নিজের ইচ্ছায় ছাড়ছি বারি ৳,mdshajibbhuiyan302,33000,21,769600
https://www.tiktok.com/@mdshajibbhuiyan302/video/7326952481181732103,",,",mdshajibbhuiyan302,33000,21,769600
https://www.tiktok.com/@mdshajibbhuiyan302/video/7340321985001458952,চোখের জলে বুক ভাসায় তাম,mdshajibbhuiyan302,33000,21,769600
https://www.tiktok.com/@mdshajibbhuiyan302/video/7339617528949296391,আজ আমি সত্যিই একা,mdshajibbhuiyan302,33000,21,769600
https://www.tiktok.com/@hasnainshariar_arnub/video/7420110074036768008,We want Sheikh Hasina 🇧🇩❤️,hasnainshariar_arnub,9147,857,122200
